"Taxes"	"Price"	"Size"
3104	279900	2048
1173	146500	912
3076	237700	1654
1608	200000	2068
1454	159900	1477
2997	499900	3153
4054	265500	1355
3002	289900	2075
6627	587000	3990
320	70000	1160
630	64500	1220
1780	167000	1690
1630	114600	1380
1530	103000	1590
930	101000	1050
590	70000	770
1050	85000	1410
20	22500	1060
870	90000	1300
1320	133000	1500
1350	90500	820
5616	577500	3949
680	142500	1170
1840	160000	1500
3680	240000	2790
1660	87000	1030
1620	118600	1250
3100	140000	1760
2070	148000	1550
830	69000	1120
2260	176000	2000
1760	86500	1350
2750	180000	1840
2020	179000	2510
4900	338000	3110
1180	130000	1760
2150	163000	1710
1600	125000	1110
1970	100000	1360
2060	100000	1250
1980	100000	1250
1510	146500	1480
1710	144900	1520
1590	183000	2020
1230	69900	1010
1510	60000	1640
1450	127000	940
970	86000	1580
150	50000	860
1470	137000	1420
1850	121300	1270
820	81000	980
2050	188000	2300
710	85000	1430
1280	137000	1380
1360	145000	1240
830	69000	1120
800	109300	1120
1220	131500	1900
3360	200000	2430
210	81900	1080
380	91200	1350
1920	124500	1720
4350	225000	4050
1510	136500	1500
4154	381000	2581
1976	250000	2120
3605	354900	2745
1400	140000	1520
790	89900	1280
1210	137000	1620
1550	103000	1520
2800	183000	2030
2560	140000	1390
1390	160000	1880
5443	434000	2891
2850	130000	1340
2230	123000	940
20	21000	580
1510	85000	1410
710	69900	1150
1540	125000	1380
1780	162600	1470
2920	156900	1590
1710	105900	1200
1880	167500	1920
1680	151800	2150
3690	118300	2200
900	94300	860
560	93900	1230
2040	165000	1140
4390	285000	2650
690	45000	1060
2100	124900	1770
2880	147000	1860
990	176000	1060
3030	196500	1730
1580	132200	1370
1770	88400	1560
1430	127200	1340
